biolink:related_to || related to || This relationship holds between p and l when p is a transport or localization process in which the outcome is to move some cargo c from a an initial location to some destination l.
biolink:related_to || related to || 'has consumer' is a relation between a material entity and an organism in which the former can normally be digested or otherwise absorbed by the latter without immediate or persistent ill effect.
biolink:related_to || related to || has consumer
biolink:related_to || related to || electrically_synapsed_to
biolink:related_to || related to || continuous with
biolink:related_to || related to || has modifier
biolink:related_to || related to || has target end location
biolink:related_to || related to || Relation between a 'neuron projection bundle' and a region in which one or more of its component neuron projections either synapses to targets or receives synaptic input. T innervates some R Expands_to: T has_fasciculating_neuron_projection that synapse_in some R.
biolink:related_to || related to || is conjugate base of
biolink:related_to || related to || q characteristic of part of w if and only if there exists some p such that q inheres in p and p part of w.
biolink:related_to || related to || disease shares features of
biolink:related_to || related to || a is attached to b if and only if a and b are discrete objects or object parts, and there are physical connections between a and b such that a force pulling a will move b, or a force pulling b will move a
biolink:related_to || related to || has muscle origin
biolink:related_to || related to || results in commitment to
biolink:related_to || related to || has fused element
biolink:related_to || related to || results in transport across
biolink:related_to || related to || has characteristic
biolink:related_to || related to || X happens_during Y iff: (start(Y) before_or_simultaneous_with start(X)) AND (end(X) before_or_simultaneous_with end(Y))
biolink:related_to || related to || results in determination of
biolink:related_to || related to || inheres in
biolink:related_to || related to || innervates
biolink:related_to || related to || c connects a if and only if there exist some b such that a and b are similar parts of the same system, and c connects b, specifically, c connects a with b. When one structure connects two others it unites some aspect of the function or role they play within the system.
biolink:related_to || related to || drains
biolink:related_to || related to || derived from ancestral fusion of
biolink:related_to || related to || A relationship between a disease and an anatomical entity where the disease is triggered by an inflammatory response to stimuli occurring in the anatomical entity
biolink:related_to || related to || Relation between an collecting structure and another structure, where the collecting structure acts as a conduit channeling fluid, substance or energy away from the other structure.
biolink:related_to || related to || x has the potential to develop into y iff x develops into y or if x is capable of developing into y
biolink:related_to || related to || a relation between a material entity and a 2D immaterial entity (the boundary), in which the boundary delimits the material entity
biolink:related_to || related to || Holds between p and m when p is a transportation or localization process and the outcome of this process is to move c from one location to another, and the route taken by c follows a path that crosses m.
biolink:related_to || related to || A grouping relationship for any relationship directly involving a function, or that holds because of a function of one of the related entities.
biolink:related_to || related to || serially homologous to
biolink:related_to || related to || x transformation of y if x is the immediate transformation of y, or is linked to y through a chain of transformation relationships
biolink:related_to || related to || Example: if we define region of chromosome as any subdivision of a chromosome along its long axis, then we can define a region of chromosome that contains only gene x as 'chromosome region' that coincident_with some 'gene x', where the term gene X corresponds to a genomic sequence.
biolink:related_to || related to || realized in
biolink:related_to || related to || a relation between a specifically dependent continuant (the characteristic) and any other entity (the bearer), in which the characteristic depends on the bearer for its existence.
biolink:related_to || related to || characteristic of
biolink:related_to || related to || supplies
biolink:related_to || related to || A relation that holds between an attribute or a qualifier and another attribute.
biolink:related_to || related to || X ends_during Y iff: ((start(Y) before_or_simultaneous_with end(X)) AND end(X) before_or_simultaneous_with end(Y).
biolink:related_to || related to || during which ends
biolink:related_to || related to || A has_fused_element B does not imply that A has_part some B: rather than A has_part some B', where B' that has some evolutionary relationship to B.
biolink:related_to || related to || transmitted by
biolink:related_to || related to || aligned with
biolink:related_to || related to || x immediate transformation of y iff x immediately succeeds y temporally at a time boundary t, and all of the matter present in x at t is present in y at t, and all the matter in y at t is present in x at t
biolink:related_to || related to || p 'results in commitment to' c if and only if p is a developmental process and c is a cell and p results in the state of c changing such that is can only develop into a single cell type.
biolink:related_to || related to || m1 has_muscle_antagonist m2 iff m1 has_muscle_insertion s, m2 has_muscle_insection s, m1 acts in opposition to m2, and m2 is responsible for returning the structure to its initial position.
biolink:related_to || related to || m has_muscle_origin s iff m is attached_to s, and it is the case that when m contracts, s does not move. The site of the origin tends to be more proximal and have greater mass than what the other end attaches to.
biolink:increases_abundance_of || increases abundance of || causes increased abundance
biolink:decreases_abundance_of || decreases abundance of || causes decreased abundance
biolink:increases_activity_or_abundance_of || increases activity or abundance of || causes increased activity or abundance
biolink:decreases_activity_or_abundance_of || decreases activity or abundance of || causes decreased activity or abundance
biolink:decreases_activity_of || decreases activity of || causes decreased activity
biolink:increases_expression_of || increases expression of || Holds between entity A (a transcription factor) and nucleic acid B if and only if A up-regulates the expression of B. The nucleic acid can be a gene or mRNA.
biolink:decreases_expression_of || decreases expression of || represses expression of
biolink:decreases_expression_of || decreases expression of || Holds between entity A (a transcription factor) and a nucleic acid B if and only if A down-regulates the expression of B. The nucleic acid can be a gene or an mRNA.
biolink:increases_folding_of || increases folding of || causes increased folding
biolink:decreases_folding_of || decreases folding of || causes decreased folding
biolink:increases_localization_of || increases localization of || causes increased localization
biolink:decreases_localization_of || decreases localization of || causes decreased localization
biolink:increases_metabolic_processing_of || increases metabolic processing of || causes increased metabolic processing
biolink:decreases_metabolic_processing_of || decreases metabolic processing of || causes decreased metabolic processing
biolink:increases_synthesis_of || increases synthesis of || causes increased synthesis
biolink:decreases_synthesis_of || decreases synthesis of || causes decreased synthesis
biolink:increases_transport_of || increases transport of || Holds between p and c when p is a transportation or localization process and the outcome of this process is to move c to a destination that is part of some s, where the start location of c is part of the region that surrounds s.
biolink:increases_transport_of || increases transport of || Holds between p and c when p is a transportation or localization process and the outcome of this process is to move c to a destination that is part of some s, where the end location of c is part of the region that surrounds s.
biolink:increases_transport_of || increases transport of || exports
biolink:increases_transport_of || increases transport of || imports
biolink:increases_transport_of || increases transport of || Holds between p and c when p is a localization process (localization covers maintenance of localization as well as its establishment)  and the outcome of this process is to regulate the localization of c.
biolink:increases_transport_of || increases transport of || transports or maintains localization of
biolink:decreases_transport_of || decreases transport of || causes decreased transport
biolink:increases_degradation_of || increases degradation of || causes increased degradation
biolink:increases_cleavage || increases cleavage || causes increased degradation
biolink:increases_hydrolysis || increases hydrolysis || causes increased degradation
biolink:decreases_degradation_of || decreases degradation of || causes decreased degradation
biolink:decreases_cleavage || decreases cleavage || causes decreased degradation
biolink:decreases_hydrolysis || decreases hydrolysis || causes decreased degradation
biolink:increases_secretion_of || increases secretion of || causes increased secretion
biolink:decreases_secretion_of || decreases secretion of || causes decreased secretion
biolink:increases_mutation_rate_of || increases mutation rate of || causes increased mutation rate
biolink:increases_mutagenesis || increases mutagenesis || causes increased mutation rate
biolink:decreases_mutation_rate_of || decreases mutation rate of || causes decreased mutation rate
biolink:decreases_mutagenesis || decreases mutagenesis || causes decreased mutation rate
biolink:increases_splicing_of || increases splicing of || causes increased splicing
biolink:increases_RNA_splicing || increases RNA splicing || causes increased splicing
biolink:decreases_splicing_of || decreases splicing of || causes decreased splicing
biolink:decreases_RNA_splicing || decreases RNA splicing || causes decreased splicing
biolink:increases_uptake_of || increases uptake of || causes increased uptake
biolink:decreases_uptake_of || decreases uptake of || causes decreased uptake
biolink:increases_molecular_interaction || increases molecular interaction || causes increased molecular interaction
biolink:decreases_molecular_interaction || decreases molecular interaction || causes decreased molecular interaction
biolink:entity_negatively_regulates_entity || entity negatively regulates entity || p negatively regulates q iff p regulates q, and p decreases the rate or magnitude of execution of q.
biolink:entity_negatively_regulates_entity || entity negatively regulates entity || molecularly decreases activity of
biolink:entity_negatively_regulates_entity || entity negatively regulates entity || negatively regulates
biolink:entity_negatively_regulates_entity || entity negatively regulates entity || directly negatively regulates activity of
biolink:entity_negatively_regulates_entity || entity negatively regulates entity || The entity A, immediately upstream of the entity B, has an activity that negatively regulates an activity performed by B.  For example, A and B may be gene products and binding of B by A negatively regulates the kinase activity of B.
biolink:entity_positively_regulates_entity || entity positively regulates entity || molecularly increases activity of
biolink:entity_positively_regulates_entity || entity positively regulates entity || The entity A, immediately upstream of the entity B, has an activity that positively regulates an activity performed by B.  For example, A and B may be gene products and binding of B by A positively regulates the kinase activity of B.
biolink:entity_positively_regulates_entity || entity positively regulates entity || directly positively regulates activity of
biolink:process_positively_regulates_process || process positively regulates process || positively regulates
biolink:process_positively_regulates_process || process positively regulates process || p positively regulates q iff p regulates q, and p increases the rate or magnitude of execution of q.
biolink:process_negatively_regulates_process || process negatively regulates process || negatively regulates
biolink:process_negatively_regulates_process || process negatively regulates process || p negatively regulates q iff p regulates q, and p decreases the rate or magnitude of execution of q.
biolink:related_to_at_concept_level || related to at concept level || Represents a relationship held between terminology components that describe the conceptual model of a domain.
biolink:related_to_at_instance_level || related to at instance level || Represents a relationship held between two instances of a data classes.  Much like an assertion component, in an ABox, these represent facts associated with the conceptual model.
biolink:disease_has_location || disease has location || A relationship between a disease and an anatomical entity where the disease has one or more features that are located in that entity.
biolink:composed_primarily_of || composed primarily of || x composed_primarily_of_y if:more than half of the mass of x is made from parts of y.
biolink:composed_primarily_of || composed primarily of || x composed_primarily_of y if and only if more than half of the mass of x is made from y or units of the same type as y.
biolink:associated_with || associated with || Expresses a relationship between two named things where the relationship is typically generated statistically (though not in all cases), and is weaker than its child, 'correlated with', but stronger than its parent, 'related to'. This relationship holds between two concepts represented by variables for which a statistical dependence is demonstrated.  E.g. the statement “Atrial Fibrillation (Afib) is associated with Myocardial Infraction (MI)” asserts that having Afib is not statistically independent from whether a patient will also have MI. Note that in Translator associations, the subject and object concepts may map exactly to the statistical variables, or represent related entities for which the variables serve as proxies in an Association (e.g. diseases, chemical entities or processes).
biolink:associated_with || associated with || disease has feature
biolink:associated_with || associated with || A relationship between a disease and some feature of that disease, where the feature is either a phenotype or an isolated disease.
biolink:opposite_of || opposite of || x is the opposite of y if there exists some distance metric M, and there exists no z such as M(x,z) <= M(x,y) or M(y,z) <= M(y,x).
biolink:opposite_of || opposite of || x is the opposite of y if there exists some distance metric M, and there exists no z such as M(x,z) <= M(x,y) or M(y,z) <= M(y,x). (This description is from RO. Needs to be rephrased).
biolink:opposite_of || opposite of || is opposite of
biolink:affects_likelihood_of || affects likelihood of || Holds between two entities where the presence or application of one alters the chance that the other will come to be.
biolink:target_for || target for || A gene is a target of a disease when its products are druggable and when a drug interaction with the gene product could have a therapeutic effect
biolink:active_in || active in || c executes activity in d if and only if c enables p and p occurs_in d.  Assuming no action at a distance by gene products, if a gene product enables (is capable of) a process that occurs in some structure, it must have at least some part in that structure.
biolink:active_in || active in || is active in
biolink:active_in || active in || enables activity in
biolink:acts_upstream_of || acts upstream of || c acts upstream of p if and only if c enables some f that is involved in p' and p' occurs chronologically before p, is not part of p, and affects the execution of p. c is a material entity and f, p, p' are processes.
biolink:mentions || mentions || refers to is a relation between one information content entity and the named thing that it makes reference to.
biolink:mentioned_by || mentioned by || refers to is a relation between one named thing and the information content entity that it makes reference to.
biolink:assesses || assesses || The effect of a thing on a target was interrogated in some assay. A relationship between some perturbing agent (usually a chemical compound) and some target entity, where the affect of the perturbing agent on the target entity was interrogated in a particular assay. The target might be a particular protein, tissue, phenotype, whole organism, cell line, or other type of biological entity.
biolink:interacts_with || interacts with || holds between any two entities that directly or indirectly interact with each other
biolink:affects || affects || p results in organization of c iff p results in the assembly, arrangement of constituent parts, or disassembly of c
biolink:affects || affects || A relationship between a process and an anatomical entity such that the process contributes to the act of creating the structural organization of the anatomical entity.
biolink:affects || affects || results in structural organization of
biolink:affects || affects || c acts upstream of or within p if c is enables f, and f is causally upstream of or within p. c is a material entity and p is an process.
biolink:affects || affects || acts upstream of or within
biolink:affects || affects || acts upstream of
biolink:affects || affects || Describes an entity that has an effect on the state or quality of another existing entity.
biolink:affects || affects || results in growth of
biolink:affects || affects || results in remodeling of
biolink:affects || affects || results in organization of
biolink:affects || affects || p acts on population of c iff c' is a collection, has members of type c, and p has participant c
biolink:affects || affects || c acts upstream of p if and only if c enables some f that is involved in p' and p' occurs chronologically before p, is not part of p, and affects the execution of p. c is a material entity and f, p, p' are processes.
biolink:affects || affects || acts on population of
biolink:affected_by || affected by || describes an entity of which the state or quality is affected by another existing entity.
biolink:diagnoses || diagnoses || a relationship that identifies the nature of (an illness or other problem) by examination of the symptoms.
biolink:gene_product_of || gene product of || definition x has gene product of y if and only if y is a gene (SO:0000704) that participates in some gene expression process (GO:0010467) where the output of thatf process is either y or something that is ribosomally translated from x
biolink:has_gene_product || has gene product || x has gene product y if and only if x is a gene (SO:0000704) that participates in some gene expression process (GO:0010467) where the output of that process is either y or something that is ribosomally translated from y
biolink:has_gene_product || has gene product || holds between a gene and a transcribed and/or translated product generated from it
biolink:transcribed_to || transcribed to || inverse of transcribed from
biolink:transcribed_from || transcribed from || x is transcribed from y if and only if x is synthesized from template y
biolink:translates_to || translates to || ribosomally translates to
biolink:translates_to || translates to || x (amino acid chain/polypeptide) is the ribosomal translation of y (transcript) if and only if a ribosome reads y (transcript) through a series of triplet codon-amino acid adaptor activities (GO:0030533) and produces x (amino acid chain/polypeptide)
biolink:translates_to || translates to || inverse of ribosomal translation of
biolink:translation_of || translation of || ribosomal translation of
biolink:translation_of || translation of || x is the ribosomal translation of y if and only if a ribosome reads x through a series of triplet codon-amino acid adaptor activities (GO:0030533) and produces y
biolink:translation_of || translation of || inverse of translates to
biolink:coexists_with || coexists with || arterial supply of
biolink:coexists_with || coexists with || drains into
biolink:coexists_with || coexists with || has developmental stage
biolink:coexists_with || coexists with || superomedial to
biolink:coexists_with || coexists with || immediately posterior to
biolink:coexists_with || coexists with || transitively distally connected to
biolink:coexists_with || coexists with || sexually homologous to
biolink:coexists_with || coexists with || has axis
biolink:coexists_with || coexists with || has development type
biolink:coexists_with || coexists with || starts axis
biolink:coexists_with || coexists with || x adjacent to y if and only if x and y share a boundary.
biolink:coexists_with || coexists with || x distal to y iff x is further along the proximo-distal axis than y, towards the appendage tip. A proximo-distal axis extends from tip of an appendage (distal) to where it joins the body (proximal).
biolink:coexists_with || coexists with || has observed anatomical entity
biolink:coexists_with || coexists with || has continuation branch
biolink:coexists_with || coexists with || x immediately anterior to y iff x anterior to y and x is contiguous with y.
biolink:coexists_with || coexists with || corresponds to
biolink:coexists_with || coexists with || insertion of
biolink:coexists_with || coexists with || inherent 3d shape of
biolink:coexists_with || coexists with || segmental supply of
biolink:coexists_with || coexists with || left of
biolink:coexists_with || coexists with || forms
biolink:coexists_with || coexists with || projects from
biolink:coexists_with || coexists with || anteroinferior to
biolink:coexists_with || coexists with || posterosuperior to
biolink:coexists_with || coexists with || posteriorly connected to
biolink:coexists_with || coexists with || fuses with
biolink:coexists_with || coexists with || receives drainage from
biolink:coexists_with || coexists with || superolateral to
biolink:coexists_with || coexists with || fusion of
biolink:coexists_with || coexists with || medial to
biolink:coexists_with || coexists with || has branch
biolink:coexists_with || coexists with || proximal to
biolink:coexists_with || coexists with || X extends_fibers into Y iff there exists some neuron (N) and N has_soma_location X and N 'has synaptic IO in region' some Y
biolink:coexists_with || coexists with || anastomoses with
biolink:coexists_with || coexists with || direct right of
biolink:coexists_with || coexists with || continuation branch of
biolink:coexists_with || coexists with || x surrounded_by y if and only if (1) x is adjacent to y and for every region r that is adjacent to x, r overlaps y (2) the shared boundary between x and y occupies the majority of the outermost boundary of x
biolink:coexists_with || coexists with || anteriorly connected to
biolink:coexists_with || coexists with || anterosuperior to
biolink:coexists_with || coexists with || inferolateral to
biolink:coexists_with || coexists with || direct left of
biolink:coexists_with || coexists with || has insertion
biolink:coexists_with || coexists with || internal to
biolink:coexists_with || coexists with || extends fibers into
biolink:coexists_with || coexists with || Crosses at an angle that is 90 degrees, or close to 90 degrees. In any non-linear organism, the main axes are rarely perpendicular when taken through the organism as a whole.
biolink:coexists_with || coexists with || posterolateral to
biolink:coexists_with || coexists with || posteromedial to
biolink:coexists_with || coexists with || placeholder. used for relation between anatomical surface and an anatomical side.
biolink:coexists_with || coexists with || proximally connected to
biolink:coexists_with || coexists with || secondary segmental supply of
biolink:coexists_with || coexists with || tributary of
biolink:coexists_with || coexists with || branch of
biolink:coexists_with || coexists with || x ventral to y iff x is further along the dorso-ventral axis than y, towards the front. A dorso-ventral axis is an axis that extends through an organism from back (e.g. spinal column) to front (e.g. belly).
biolink:coexists_with || coexists with || has origin
biolink:coexists_with || coexists with || sends output to
biolink:coexists_with || coexists with || anterolateral to
biolink:coexists_with || coexists with || immediately anterior to
biolink:coexists_with || coexists with || A directional axis can be divided by a plane. Following Allen Interval Algebra terminology we say that the side on which the axis initiates starts the axis, with the other side finishing the axis. If s finishes axis x, and x has end point p, then x overlaps p
biolink:coexists_with || coexists with || afferent to
biolink:coexists_with || coexists with || left medial to
biolink:coexists_with || coexists with || has secondary segmental supply
biolink:coexists_with || coexists with || ventral to
biolink:coexists_with || coexists with || receives input from
biolink:coexists_with || coexists with || in outermost side of
biolink:coexists_with || coexists with || channels_into
biolink:coexists_with || coexists with || has projection
biolink:coexists_with || coexists with || dorsal to
biolink:coexists_with || coexists with || x dorsal to y iff x is further along the dorso-ventral axis than y, towards the back. A dorso-ventral axis is an axis that extends through an organism from back (e.g. spinal column) to front (e.g. belly).
biolink:coexists_with || coexists with || external to
biolink:coexists_with || coexists with || right lateral to
biolink:coexists_with || coexists with || channels from
biolink:coexists_with || coexists with || passes through
biolink:coexists_with || coexists with || indirectly supplies
biolink:coexists_with || coexists with || follows axis
biolink:coexists_with || coexists with || has connection type
biolink:coexists_with || coexists with || anteromedial to
biolink:coexists_with || coexists with || indirectly_supplies
biolink:coexists_with || coexists with || Closer to the left side of the organism. Example: The dorsal fin is right of the left pectoral fin, but is left of the right eye. On the type level: X left of Y <=> every instance x of X is left of some instance y of Y, and there exists some organism o such that x part of o and y part of o.
biolink:coexists_with || coexists with || x proximal to y iff x is closer to the point of attachment with the body than y.
biolink:coexists_with || coexists with || has lymphatic drainage
biolink:coexists_with || coexists with || merges with
biolink:coexists_with || coexists with || inverse of surrounded by
biolink:coexists_with || coexists with || continuous distally with
biolink:coexists_with || coexists with || connection type of
biolink:coexists_with || coexists with || origin of
biolink:coexists_with || coexists with || inferomedial to
biolink:coexists_with || coexists with || has fusion
biolink:coexists_with || coexists with || protects
biolink:coexists_with || coexists with || approximately perpendicular to
biolink:coexists_with || coexists with || related part
biolink:coexists_with || coexists with || synapsed by
biolink:coexists_with || coexists with || posteroinferior to
biolink:coexists_with || coexists with || has direct cell shape
biolink:coexists_with || coexists with || has segmental composition
biolink:coexists_with || coexists with || has full grown phenotype
biolink:coexists_with || coexists with || projects to
biolink:coexists_with || coexists with || transitively proximally connected to
biolink:coexists_with || coexists with || existence starts and ends during
biolink:coexists_with || coexists with || efferent to
biolink:coexists_with || coexists with || channel for
biolink:coexists_with || coexists with || has venous drainage
biolink:coexists_with || coexists with || opposite to
biolink:coexists_with || coexists with || articulates with
biolink:coexists_with || coexists with || orthogonal to
biolink:coexists_with || coexists with || bounded by
biolink:coexists_with || coexists with || x immediately posterior to y iff x posterior_to y and x is contiguous with y.
biolink:coexists_with || coexists with || Relationship between a fluid and a filtration barrier, where the portion of fluid arises as a transformation of another portion of fluid on the other side of the barrier, with larger particles removed
biolink:coexists_with || coexists with || channels into
biolink:coexists_with || coexists with || adjacent to
biolink:coexists_with || coexists with || distally connected to
biolink:coexists_with || coexists with || caudal to
biolink:coexists_with || coexists with || transitively_connected to
biolink:coexists_with || coexists with || developmental stage of
biolink:coexists_with || coexists with || parallel to
biolink:coexists_with || coexists with || has adherent
biolink:coexists_with || coexists with || receives attachment from
biolink:coexists_with || coexists with || direct cell shape of
biolink:coexists_with || coexists with || has tributary
biolink:coexists_with || coexists with || Intersects at two points.
biolink:coexists_with || coexists with || bounds
biolink:coexists_with || coexists with || has regional part
biolink:coexists_with || coexists with || holds between two entities that are co-located in the same aggregate object, process, or spatio-temporal region
biolink:coexists_with || coexists with || nerve supply of
biolink:coexists_with || coexists with || has arterial supply
biolink:coexists_with || coexists with || germ origin of
biolink:coexists_with || coexists with || has related developmental entity
biolink:coexists_with || coexists with || has segmental supply
biolink:coexists_with || coexists with || left lateral to
biolink:coexists_with || coexists with || in central side of
biolink:coexists_with || coexists with || x anterior to y iff x is further along the antero-posterior axis than y, towards the head. An antero-posterior axis is an axis that extends through an organism from head end to opposite end of body or tail.
biolink:coexists_with || coexists with || matures from
biolink:coexists_with || coexists with || anterior to
biolink:coexists_with || coexists with || distal to
biolink:coexists_with || coexists with || has inherent 3d shape
biolink:coexists_with || coexists with || crossing at right angles
biolink:coexists_with || coexists with || x posterior to y iff x is further along the antero-posterior axis than y, towards the body/tail. An antero-posterior axis is an axis that extends through an organism from head end to opposite end of body or tail.
biolink:coexists_with || coexists with || A directional axis can be divided by a plane. Following Allen Interval Algebra terminology we say that the side on which the axis initiates starts the axis, with the other side finishing the axis. . If s starts axis x, and x has start point p, then x overlaps p
biolink:coexists_with || coexists with || x anteriorly_connected_to y iff the anterior part of x is connected to y. i.e. x connected_to y and x posterior_to y.
biolink:coexists_with || coexists with || surrounds
biolink:coexists_with || coexists with || receives projection
biolink:coexists_with || coexists with || attaches to
biolink:coexists_with || coexists with || immediately superficial to
biolink:coexists_with || coexists with || has germ origin
biolink:coexists_with || coexists with || conduit for
biolink:coexists_with || coexists with || x posteriorly_connected_to y iff the posterior part of x is connected to y. i.e. x connected_to y and x anterior_to y.
biolink:coexists_with || coexists with || Direcly opposite to. i.e. on the opposite side through the axis.
biolink:coexists_with || coexists with || extends_fibers_into
biolink:coexists_with || coexists with || segmental composition of
biolink:coexists_with || coexists with || surrounded by
biolink:coexists_with || coexists with || formed by
biolink:coexists_with || coexists with || has nerve supply
biolink:coexists_with || coexists with || Relationship between a fluid and a material entity, where the fluid is the output of a realization of a filtration role that inheres in the material entity.
biolink:coexists_with || coexists with || finishes axis
biolink:coexists_with || coexists with || x distally_connected_to y iff the distal part of x is connected to y. i.e. x connected_to y and x proximal_to y.
biolink:coexists_with || coexists with || development type of
biolink:coexists_with || coexists with || a indirectly_supplies s iff a has a branch and the branch supplies or indirectly supplies s.
biolink:coexists_with || coexists with || x proximally_connected_to y iff the proximal part of x is connected to y. i.e. x connected_to y and x distal_to y.
biolink:coexists_with || coexists with || channels_from
biolink:coexists_with || coexists with || transitively anteriorly connected to
biolink:coexists_with || coexists with || inferior to
biolink:coexists_with || coexists with || primary segmental supply of
biolink:coexists_with || coexists with || The elbow is proximal to the hand, but distal to the shoulder.
biolink:coexists_with || coexists with || right medial to
biolink:coexists_with || coexists with || venous drainage of
biolink:coexists_with || coexists with || filtered through
biolink:coexists_with || coexists with || x immediately superficial to y iff x superficial to y and x is contiguous with y.
biolink:coexists_with || coexists with || matures into
biolink:coexists_with || coexists with || in innermost side of
biolink:coexists_with || coexists with || surface of
biolink:coexists_with || coexists with || has primary segmental supply
biolink:coexists_with || coexists with || lymphatic drainage of
biolink:coexists_with || coexists with || full grown phenotype of
biolink:coexists_with || coexists with || posterior to
biolink:coexists_with || coexists with || continuous proximally with
biolink:coexists_with || coexists with || superior to
biolink:coexists_with || coexists with || lateral to
biolink:coexists_with || coexists with || carries
biolink:contributes_to || contributes to || developmentally contributes to
biolink:contributes_to || contributes to || contributes to condition
biolink:contributes_to || contributes to || holds between two entities where the occurrence, existence, or activity of one contributes to the occurrence or generation of the other
biolink:contributes_to || contributes to || inverse of has developmental contribution from
biolink:contributes_to || contributes to || predisposes towards
biolink:contributes_to || contributes to || A relationship between an entity (e.g. a genotype, genetic variation, chemical, or environmental exposure) and a condition (a phenotype or disease), where the entity has some contributing role that influences the condition.
biolink:promotes_condition || promotes condition || Holds between a substance, procedure, or activity and a medical condition (disease or phenotypic feature), and states that the  substance, procedure, or activity is able to promote it manifesting in the first place.
biolink:studied_to_treat || studied to treat || Holds between an  substance, procedure, or activity and a medical condition, and reports that one or more scientific study has been performed to specifically test the potential of the  substance, procedure, or activity to treat the medical condition  (i.e. to ameliorate, stabilize, or cure the condition, or to delay, prevent, or reduce the risk of it manifesting in the first place).
biolink:applied_to_treat || applied to treat || Holds between an  substance, procedure, or activity and a medical condition, and reports that the  substance, procedure, or activity was actually taken by one or more patients with the intent of treating the condition.
biolink:treats_or_applied_or_studied_to_treat || treats or applied or studied to treat || Holds between an substance, procedure, or activity and a medical condition (disease or phenotypic feature), and states that the substance, procedure, or activity is able to treat the condition, has been observed to be taken/prescribed in practice with the intent of treating the condition, or has been interrogated in a scientific study that hypothesized an ability to treat the condition (in humans or other biological systems/organisms).
biolink:has_phenotype || has phenotype || disease has basis in feature
biolink:has_phenotype || has phenotype || holds between a biological entity and a phenotype, where a phenotype is construed broadly as any kind of quality of an organism part, a collection of these qualities, or a change in quality or qualities (e.g. abnormally increased temperature). In SNOMEDCT, disorders with keyword 'characterized by' should translate into this predicate.
biolink:has_phenotype || has phenotype || disease has feature
biolink:has_phenotype || has phenotype || A relationship between a disease and some feature of that disease, where the feature is either a phenotype or an isolated disease.
